,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc,predict_pitch,predict_speed,loss_sye,factor
0,0.0,-0.00015229826,-0.015128457,0.0,0.0,0.00015229826,0.2594619,0.0,0.2589805,0.00048138824,0.0,0.0,0.0,0.0
1,0.02,-0.0006011444,-0.029657789,-6.4076106e-05,-0.006395515,0.0005370683,0.23963818,0.0,0.25114432,-0.011506114,0.0,0.0,0.0,0.0
2,0.04,-0.0013347344,-0.043605786,-0.00025043054,-0.012228236,0.0010843038,0.22179815,0.0,0.24361633,-0.021818187,0.0,0.0,0.0,0.0
3,0.06,-0.002341616,-0.056989778,-0.0005483227,-0.01754965,0.0017932933,0.20582426,0.0,0.23638764,-0.03056338,0.0,0.0,0.0,0.0
4,0.08,-0.0036106778,-0.06982663,-0.00094801036,-0.022408135,0.0026626675,0.19160378,0.0,0.22944969,-0.0378459,0.0,0.0,0.0,0.0
5,0.1,-0.0051311427,-0.082132764,-0.0014406892,-0.026849067,0.0036904535,0.17902818,0.0,0.22279386,-0.043765657,0.0,0.0,0.0,0.0
6,0.12,-0.0068925573,-0.093924165,-0.0020184333,-0.030914932,0.004874124,0.16785702,0.0,0.21627538,-0.048418354,0.0,0.0,0.0,0.0
7,0.14,-0.008884782,-0.105216384,-0.0026741053,-0.034642078,0.0062106764,0.15808968,0.0,0.20997821,-0.05188852,0.0,0.0,0.0,0.0
8,0.16,-0.011097985,-0.11602458,-0.0034012925,-0.03806667,0.007696693,0.14968352,0.0,0.20394516,-0.054261636,0.0,0.0,0.0,0.0
9,0.18,-0.013522637,-0.12636349,-0.004194293,-0.041223615,0.009328344,0.1425464,0.0,0.19816826,-0.055621862,0.0,0.0,0.0,0.0
10,0.2,-0.016149493,-0.13624746,-0.005048079,-0.04414537,0.0111014135,0.1365904,0.0,0.19263995,-0.056049533,0.0,0.0,0.0,0.0
11,0.22,-0.018969595,-0.14569044,-0.0059582484,-0.04686202,0.0130113475,0.13173153,0.0,0.18735269,-0.055621147,0.0,0.0,0.0,0.0
12,0.24,-0.021974262,-0.15470605,-0.006920976,-0.04940138,0.015053285,0.12788971,0.0,0.18229921,-0.05440951,0.0,0.0,0.0,0.0
13,0.26,-0.025155079,-0.16330749,-0.007932975,-0.051789124,0.017222103,0.124988616,0.0,0.17747243,-0.052483816,0.0,0.0,0.0,0.0
14,0.28,-0.028503887,-0.17150763,-0.008991449,-0.05404885,0.019512437,0.122955725,0.0,0.17286547,-0.04990972,0.0,0.0,0.0,0.0
15,0.3,-0.03201279,-0.17931898,-0.010094051,-0.05620221,0.02191874,0.12172201,0.0,0.1684715,-0.046749488,0.0,0.0,0.0,0.0
16,0.32,-0.035674132,-0.18675373,-0.011238858,-0.058268987,0.024435274,0.12122198,0.0,0.16428405,-0.043062065,0.0,0.0,0.0,0.0
