,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc
38,0.76,0.02430609,0.047223065,0.0033965178,0.013864191,0.020909572,-0.03756632,2.8077868e-05,-9.77562e-05,-0.037468564
39,0.78,0.025253117,0.047474854,0.003680542,0.014535665,0.021572575,-0.038280416,2.9151082e-05,-0.00010249172,-0.038177926
40,0.8,0.026204895,0.04769816,0.0039780173,0.015209186,0.022226878,-0.038963035,3.0195095e-05,-0.00010747123,-0.038855564
41,0.82,0.02716086,0.047894012,0.004288972,0.015883608,0.02287189,-0.039614677,3.1208117e-05,-0.00011270552,-0.039501972
42,0.84,0.028120479,0.048063394,0.004613414,0.016557805,0.023507064,-0.04023595,3.2188684e-05,-0.00011820454,-0.04011775
43,0.86,0.02908323,0.048207298,0.004951327,0.017230688,0.024131902,-0.04082755,3.313562e-05,-0.00012397752,-0.040703572
44,0.88,0.03004861,0.048326656,0.0053026746,0.017901193,0.024745936,-0.04139018,3.4048e-05,-0.00013003276,-0.041260146
45,0.9,0.031016137,0.04842238,0.0056673987,0.018568296,0.025348738,-0.04192464,3.492518e-05,-0.00013637781,-0.041788258
46,0.92,0.03198535,0.04849537,0.006045421,0.019231005,0.025939928,-0.042431753,3.5766745e-05,-0.0001430195,-0.04228873
47,0.94,0.032955803,0.048546482,0.006436645,0.019888368,0.026519157,-0.042912398,3.6572517e-05,-0.00014996389,-0.042762436
48,0.96,0.033927068,0.048576556,0.0068409536,0.020539466,0.027086115,-0.043367486,3.7342557e-05,-0.00015721632,-0.04321027
49,0.98,0.034898728,0.048586406,0.007258214,0.021183426,0.027640514,-0.04379795,1.4812081e-06,-0.0001647815,-0.043633174
50,1.0,0.035870396,0.048576817,0.0076882727,0.021819407,0.028182123,-0.04419682,1.5587273e-06,-0.0001647301,-0.04403209
51,1.02,0.03684168,0.04854856,0.008130963,0.022446413,0.028710715,-0.04457312,1.6375757e-06,-0.00016470658,-0.044408415
52,1.04,0.037812214,0.04850237,0.008586096,0.0230637,0.029226119,-0.04492782,1.7176769e-06,-0.00016471145,-0.04476311
53,1.06,0.038781658,0.048438977,0.009053471,0.023670554,0.029728187,-0.045261934,1.7989458e-06,-0.00016474527,-0.04509719
54,1.08,0.039749663,0.04835908,0.009532871,0.024266303,0.030216793,-0.045576453,1.8812846e-06,-0.00016480853,-0.045411646
55,1.1,0.040715914,0.04826335,0.010024071,0.02485032,0.030691843,-0.045872398,1.9645827e-06,-0.0001649018,-0.045707498
56,1.12,0.041680098,0.048152454,0.010526826,0.025422018,0.031153273,-0.04615073,2.0487166e-06,-0.0001650256,-0.045985702
57,1.14,0.04264192,0.04802702,0.011040888,0.02598085,0.03160103,-0.046412442,2.1335513e-06,-0.00016518046,-0.046247263
58,1.16,0.043601085,0.04788768,0.011565993,0.02652631,0.03203509,-0.046658516,2.2189413e-06,-0.00016536696,-0.04649315
59,1.18,0.044557337,0.047735024,0.012101869,0.02705793,0.032455467,-0.04688992,2.304731e-06,-0.00016558569,-0.046724338
60,1.2,0.045510404,0.04756964,0.012648234,0.027575282,0.03286217,-0.047107596,2.3907583e-06,-0.00016583706,-0.04694176
61,1.22,0.04646004,0.04739208,0.013204801,0.028077977,0.033255238,-0.047312487,2.4768567e-06,-0.00016612161,-0.047146365
62,1.24,0.047406007,0.04720291,0.01377127,0.028565664,0.033634737,-0.04750549,2.5628551e-06,-0.00016643987,-0.047339052
63,1.26,0.04834808,0.047002647,0.014347341,0.02903803,0.03400074,-0.0476875,2.6485825e-06,-0.00016679225,-0.04752071
64,1.28,0.04928604,0.046791803,0.014932702,0.029494798,0.03435334,-0.047859374,2.7338676e-06,-0.00016717921,-0.0476922
65,1.3,0.050219685,0.046570886,0.01552704,0.029935721,0.034692645,-0.048021995,2.8185445e-06,-0.00016760116,-0.047854397
66,1.32,0.051148813,0.046340365,0.016130038,0.030360598,0.035018776,-0.04817614,2.9024488e-06,-0.00016805841,-0.048008084
67,1.34,0.052073244,0.046100717,0.016741369,0.030769251,0.035331875,-0.048322596,2.9854243e-06,-0.00016855137,-0.048154045
68,1.36,0.052992783,0.045852385,0.01736071,0.03116154,0.035632074,-0.048462123,3.0673223e-06,-0.0001690803,-0.04829304
69,1.38,0.05390728,0.045595817,0.01798773,0.031537354,0.035919547,-0.048595466,3.148002e-06,-0.00016964556,-0.048425823
70,1.4,0.054816563,0.045331433,0.018622104,0.031896614,0.03619446,-0.048723318,3.227334e-06,-0.0001702473,-0.048553072
71,1.42,0.055720486,0.04505964,0.019263495,0.032239262,0.03645699,-0.048846368,3.3051974e-06,-0.00017088577,-0.048675485
72,1.44,0.056618903,0.044780836,0.01991157,0.03256529,0.036707334,-0.048965234,3.3814858e-06,-0.00017156117,-0.048793674
73,1.46,0.05751168,0.044495404,0.020566005,0.032874685,0.036945675,-0.049080532,3.4561026e-06,-0.00017227365,-0.04890826
74,1.48,0.058398686,0.04420372,0.021226458,0.03316749,0.037172228,-0.049192872,3.5289643e-06,-0.00017302328,-0.049019843
75,1.5,0.05927979,0.043906137,0.021892603,0.03344376,0.037387185,-0.049302757,3.5999985e-06,-0.00017381023,-0.049128946
76,1.52,0.06015489,0.04360301,0.022564108,0.03370357,0.03759078,-0.049410716,3.6691467e-06,-0.00017463446,-0.049236085
77,1.54,0.061023876,0.043294676,0.023240644,0.033947017,0.03778323,-0.04951728,3.7363632e-06,-0.00017549613,-0.049341787
78,1.56,0.06188665,0.042981453,0.023921888,0.03417423,0.03796476,-0.04962287,3.8016128e-06,-0.00017639517,-0.049446475
79,1.58,0.06274311,0.042663656,0.024607515,0.03438535,0.038135596,-0.049727928,3.864872e-06,-0.00017733162,-0.049550593
80,1.6,0.063593164,0.042341594,0.025297204,0.034580536,0.038295962,-0.049832825,3.9261304e-06,-0.00017830542,-0.049654525
81,1.62,0.06443674,0.04201556,0.02599064,0.034759972,0.0384461,-0.04993796,3.9853867e-06,-0.00017931654,-0.049758643
82,1.64,0.06527376,0.04168584,0.026687507,0.034923848,0.038586255,-0.050043665,4.0426517e-06,-0.00018036501,-0.0498633
83,1.66,0.06610415,0.041352697,0.0273875,0.035072383,0.03871665,-0.050150264,4.0979444e-06,-0.00018145061,-0.049968813
84,1.68,0.06692784,0.041016404,0.028090311,0.0352058,0.03883753,-0.050258044,4.1512926e-06,-0.00018257339,-0.050075468
85,1.7,0.06774479,0.040677216,0.028795643,0.035324335,0.038949147,-0.050367266,4.202734e-06,-0.00018373314,-0.050183527
86,1.72,0.06855492,0.040335376,0.029503198,0.03542825,0.039051726,-0.050478153,4.2523125e-06,-0.00018492981,-0.050293222
87,1.74,0.069358185,0.039991125,0.030212685,0.035517804,0.0391455,-0.05059092,4.300079e-06,-0.0001861633,-0.050404754
88,1.76,0.07015455,0.039644692,0.030923828,0.03559327,0.03923072,-0.05070577,4.346092e-06,-0.00018743347,-0.05051833
89,1.78,0.07094397,0.039296303,0.03163634,0.035654932,0.039307628,-0.050822843,4.390413e-06,-0.00018874025,-0.0506341
90,1.8,0.0717264,0.038946163,0.032349944,0.035703093,0.039376453,-0.050942294,4.4331105e-06,-0.00019008343,-0.05075221
