,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc,predict_pitch,predict_speed,loss_sye,factor
0,0.0,0.00019735334,0.019603971,0.0,0.0,0.00019735334,0.12154568,0.0,0.12216949,-0.00062379945,0.0,0.0,0.0,0.0
1,0.02,0.00077898335,0.03843157,-3.001664e-05,-0.0029959974,0.000809,0.103708185,0.0,0.1124506,-0.008742416,0.0,0.0,0.0,0.0
2,0.04,0.0017295944,0.05650587,-0.00011520316,-0.0055175773,0.0018447976,0.08593914,0.0,0.103161395,-0.017222254,0.0,0.0,0.0,0.0
3,0.06,0.003034346,0.0738493,-0.00024612428,-0.0075700847,0.0032804704,0.068295166,0.0,0.09429278,-0.025997613,0.0,0.0,0.0,0.0
4,0.08,0.0046788403,0.090483725,-0.000413468,-0.0091605075,0.0050923084,0.05082407,0.0,0.08583205,-0.035007983,0.0,0.0,0.0,0.0
5,0.1,0.0066491114,0.10643044,-0.0006080762,-0.01029723,0.0072571877,0.033569157,0.0,0.07776674,-0.044197578,0.0,0.0,0.0,0.0
6,0.12,0.008931611,0.12171014,-0.0008209711,-0.010989903,0.009752582,0.01656955,0.0,0.070084676,-0.053515125,0.0,0.0,0.0,0.0
7,0.14,0.011513203,0.13634299,-0.0010433792,-0.011249312,0.012556583,-0.00013964054,0.0,0.062774,-0.06291364,0.0,0.0,0.0,0.0
8,0.16,0.014381151,0.15034862,-0.0012667531,-0.011087264,0.015647903,-0.01652705,0.0,0.055823162,-0.07235021,0.0,0.0,0.0,0.0
9,0.18,0.017523095,0.16374613,-0.0014827908,-0.010516473,0.019005885,-0.032564905,0.0,0.049220897,-0.081785806,0.0,0.0,0.0,0.0
10,0.2,0.020927066,0.17655413,-0.001683452,-0.009550447,0.022610517,-0.048228804,0.0,0.04295622,-0.091185026,0.0,0.0,0.0,0.0
11,0.22,0.02458145,0.18879068,-0.0018609741,-0.008203389,0.026442423,-0.063497566,0.0,0.03701842,-0.10051599,0.0,0.0,0.0,0.0
12,0.24,0.028474998,0.20047338,-0.0020078844,-0.0064901025,0.030482883,-0.07835294,0.0,0.031397115,-0.10975005,0.0,0.0,0.0,0.0
13,0.26,0.032596808,0.21161944,-0.0021170112,-0.004425895,0.03471382,-0.09277956,0.0,0.026082134,-0.1188617,0.0,0.0,0.0,0.0
14,0.28,0.03693631,0.22224545,-0.0021814937,-0.002026493,0.039117802,-0.106764734,0.0,0.021063568,-0.1278283,0.0,0.0,0.0,0.0
15,0.3,0.04148327,0.23236768,-0.0021947878,0.0006920369,0.043678056,-0.12029811,0.0,0.016331885,-0.13662998,0.0,0.0,0.0,0.0
16,0.32,0.046227764,0.24200189,-0.0021506753,0.0037133659,0.048378438,-0.13337183,0.0,0.011877642,-0.14524949,0.0,0.0,0.0,0.0
17,0.34,0.051160187,0.25116345,-0.0020432645,0.0070209764,0.053203452,-0.14598006,0.0,0.007691815,-0.15367188,0.0,0.0,0.0,0.0
18,0.36,0.056271248,0.25986734,-0.0018669968,0.0105982255,0.058138244,-0.15811908,0.0,0.0037654669,-0.16188456,0.0,0.0,0.0,0.0
19,0.38,0.06155193,0.268128,-0.0016166462,0.01442841,0.06316858,-0.16978703,0.0,9.0021626e-05,-0.16987707,0.0,0.0,0.0,0.0
20,0.4,0.06699351,0.27595964,-0.0012873213,0.018494826,0.06828083,-0.1809837,0.0,-0.0033429025,-0.17764078,0.0,0.0,0.0,0.0
21,0.42,0.07258755,0.283376,-0.0008744642,0.022780819,0.07346202,-0.19171052,0.0,-0.0065414477,-0.18516906,0.0,0.0,0.0,0.0
22,0.44,0.07832587,0.29039046,-0.0003738488,0.02726984,0.078699715,-0.20197043,0.0,-0.009513578,-0.19245687,0.0,0.0,0.0,0.0
23,0.46,0.084200576,0.297016,0.00021842124,0.031945482,0.083982155,-0.21176772,0.0,-0.012266965,-0.19950075,0.0,0.0,0.0,0.0
24,0.48,0.090204,0.3032653,0.0009059159,0.036791533,0.089298084,-0.22110781,0.0,-0.014809113,-0.20629871,0.0,0.0,0.0,0.0
25,0.5,0.096328765,0.30915064,0.0016918838,0.041792016,0.09463688,-0.22999735,0.00041343144,-0.017147303,-0.21285005,0.0,0.0,5.7224333e-06,0.9717933
26,0.52,0.10256769,0.314684,0.0025792557,0.04693121,0.09998843,-0.23844454,0.00046175253,-0.019289132,-0.2191554,-5.990536e-08,1.6130817e-06,7.4820105e-06,0.96328104
27,0.54,0.108913854,0.31987703,0.0035706523,0.05219371,0.1053432,-0.24645731,0.0005128975,-0.021240987,-0.22521634,-1.0071043e-07,3.764261e-06,9.646152e-06,0.9529139
28,0.56,0.11536057,0.32474104,0.004668387,0.057564426,0.11069219,-0.25404513,0.00056668016,-0.02300954,-0.23103556,-1.09163864e-07,6.550905e-06,1.2266939e-05,0.9405084
29,0.58,0.12190137,0.32928693,0.0058744787,0.06302862,0.11602689,-0.26121795,0.0006228897,-0.02460127,-0.23661669,-6.9060256e-08,1.0084676e-05,1.5402758e-05,0.9258771
30,0.6,0.12853,0.33352548,0.007190652,0.068571925,0.12133934,-0.26798669,0.00068129663,-0.026022507,-0.24196416,3.9127755e-08,1.4490992e-05,1.911681e-05,0.90884197
31,0.62,0.1352404,0.3374671,0.008618349,0.07418039,0.12662205,-0.27436247,0.0007416565,-0.027279397,-0.24708307,2.38592e-07,1.9908137e-05,2.347564e-05,0.8892488
32,0.64,0.14202677,0.34112182,0.010158738,0.07984046,0.13186803,-0.2803572,0.0008037152,-0.028377881,-0.25197932,5.56497e-07,2.6486085e-05,2.8547762e-05,0.8669805
33,0.66,0.14888343,0.34449953,0.0118127195,0.08553903,0.13707072,-0.285983,0.00086721266,-0.029323727,-0.25665927,1.0242475e-06,3.4385153e-05,3.440235e-05,0.84196925
34,0.68,0.15580496,0.34760967,0.013580937,0.091263436,0.14222403,-0.2912524,0.0009318876,-0.030122587,-0.26112983,1.6777102e-06,4.3774413e-05,4.110802e-05,0.81420743
35,0.7,0.1627861,0.35046163,0.0154637825,0.097001456,0.14732231,-0.2961782,0.0009974801,-0.030779855,-0.26539835,2.5573877e-06,5.4830147e-05,4.8731716e-05,0.7837552
36,0.72,0.16982175,0.35306427,0.017461415,0.10274135,0.15236033,-0.30077335,0.0010637356,-0.03130085,-0.2694725,3.7085442e-06,6.7734065e-05,5.73377e-05,0.75074553
37,0.74,0.17690708,0.35542646,0.019573754,0.10847186,0.15733333,-0.3050512,0.0011304073,-0.031690735,-0.2733605,5.1812854e-06,8.267175e-05,6.698667e-05,0.71538574
38,0.76,0.18403728,0.35755667,0.021800507,0.114182174,0.16223678,-0.3090248,0.0011972592,-0.031954456,-0.27707034,7.0305905e-06,9.983101e-05,7.773498e-05,0.6779547
39,0.78,0.19120784,0.35946313,0.024141164,0.119862,0.16706668,-0.3127076,0.0012640673,-0.0320969,-0.2806107,9.316302e-06,0.00011940019,8.963395e-05,0.63879627
40,0.8,0.19841437,0.3611539,0.026595023,0.12550151,0.17181934,-0.31611294,0.0013306217,-0.032122742,-0.28399017,1.2103082e-05,0.00014156688,0.00010272931,0.5983098
41,0.82,0.20565262,0.36263677,0.02916118,0.13109136,0.17649144,-0.31925407,0.0013967284,-0.0320366,-0.28721747,1.5460337e-05,0.00016651649,0.00011706085,0.5569364
42,0.84,0.21291852,0.36391935,0.031838547,0.13662268,0.18107997,-0.3221443,0.0014622101,-0.031842835,-0.29030144,1.9462095e-05,0.00019443093,0.00013266197,0.51514345
43,0.86,0.22020812,0.36500895,0.03462588,0.14208715,0.18558225,-0.3247966,0.0015269059,-0.031545762,-0.29325083,2.4186882e-05,0.00022548767,0.00014955949,0.4734081
44,0.88,0.22751765,0.36591268,0.037521757,0.14747682,0.18999588,-0.32722408,0.0015906732,-0.031149562,-0.2960745,2.9717583e-05,0.00025985864,0.00016777357,0.43219957
45,0.9,0.23484345,0.3666375,0.040524606,0.1527843,0.19431885,-0.3294395,0.0016533872,-0.030658318,-0.2987812,3.6141235e-05,0.00029770963,0.00018731758,0.39196298
46,0.92,0.24218202,0.36719015,0.043632716,0.15800266,0.1985493,-0.33145532,0.0017149411,-0.030075874,-0.30137947,4.3548913e-05,0.00033919918,0.00020819818,0.35310462
47,0.94,0.24952997,0.36757717,0.046844244,0.16312538,0.20268573,-0.33328408,0.0017752445,-0.029406078,-0.303878,5.2035444e-05,0.0003844784,0.00023041552,0.3159796
48,0.96,0.25688404,0.36780488,0.050157208,0.16814646,0.20672683,-0.33493778,0.001834226,-0.028652642,-0.3062851,6.1699364e-05,0.00043369064,0.00025396323,0.28088325
49,0.98,0.26424116,0.36787945,0.05356953,0.1730603,0.21067163,-0.33642828,0.0018918288,-0.027819106,-0.30860922,7.264261e-05,0.00048697082,0.00027882884,0.24804522
50,1.0,0.27159825,0.36780685,0.057079,0.17786177,0.21451925,-0.33776706,0.0019480141,-0.026908927,-0.31085813,8.497036e-05,0.0005444454,0.000304994,0.21762758
51,1.02,0.27895248,0.36759287,0.060683325,0.18254611,0.21826915,-0.33896545,0.0020027563,-0.02592551,-0.3130399,9.879089e-05,0.00060623203,0.0003324349,0.18972598
52,1.04,0.28630105,0.36724317,0.06438013,0.1871091,0.22192091,-0.34003428,0.002056045,-0.02487208,-0.3151622,0.00011421541,0.00067244016,0.00036112242,0.16437382
53,1.06,0.29364133,0.3667632,0.06816695,0.19154678,0.22547439,-0.34098417,0.002107883,-0.023751814,-0.31723234,0.00013135785,0.0007431705,0.00039102286,0.1415483
54,1.08,0.30097073,0.3661582,0.07204122,0.19585569,0.22892952,-0.3418253,0.0021582851,-0.022567796,-0.31925753,0.00015033474,0.0008185155,0.00042209827,0.12117841
55,1.1,0.30828685,0.3654334,0.07600037,0.20003271,0.23228648,-0.3425678,0.002207278,-0.021322954,-0.3212448,0.00017126504,0.0008985587,0.00045430657,0.10315394
56,1.12,0.3155873,0.3645937,0.08004169,0.20407511,0.23554562,-0.34322083,0.002254899,-0.020020174,-0.32320067,0.0001942701,0.0009833765,0.00048760255,0.08733424
57,1.14,0.32286987,0.36364397,0.08416251,0.20798056,0.23870736,-0.34379384,0.0023011947,-0.018662263,-0.32513157,0.00021947337,0.0010730368,0.000521938,0.07355733
58,1.16,0.33013237,0.36258894,0.08836004,0.21174699,0.24177232,-0.3442953,0.0023462186,-0.017251879,-0.3270434,0.00024700043,0.0011676002,0.0005572622,0.06164821
59,1.18,0.33737275,0.36143306,0.09263149,0.21537274,0.24474126,-0.34473395,0.0023900333,-0.015791647,-0.32894233,0.00027697874,0.0012671195,0.0005935225,0.05142594
60,1.2,0.34458902,0.36018082,0.09697404,0.21885644,0.24761498,-0.34511766,0.0024327077,-0.014284145,-0.33083352,0.0003095379,0.0013716419,0.0006306647,0.042709947
61,1.22,0.35177937,0.35883647,0.10138482,0.22219707,0.25039455,-0.34545416,0.0024743152,-0.012731766,-0.33272237,0.0003448091,0.0014812069,0.00066863315,0.03532495
62,1.24,0.3589419,0.35740408,0.105860986,0.22539383,0.25308093,-0.34575066,0.0025149353,-0.011136922,-0.33461374,0.00038292533,0.001595848,0.00070737215,0.02910455
63,1.26,0.36607498,0.35588774,0.11039963,0.22844632,0.25567535,-0.3460141,0.0025546507,-0.009501844,-0.33651227,0.00042402121,0.0017155926,0.00074682536,0.023894027
64,1.28,0.3731769,0.35429135,0.11499789,0.23135428,0.258179,-0.3462512,0.002593547,-0.007828802,-0.33842242,0.00046823313,0.0018404624,0.00078693597,0.019551959
65,1.3,0.3802461,0.3526186,0.11965286,0.23411785,0.26059324,-0.34646797,0.002631712,-0.006119955,-0.340348,0.000515699,0.001970475,0.0008276488,0.015950836
66,1.32,0.38728115,0.35087323,0.124361664,0.23673734,0.2629195,-0.34667015,0.0026692364,-0.004377359,-0.3422928,0.00056655804,0.0021056412,0.0008689085,0.0129774455
67,1.34,0.39428058,0.34905866,0.12912141,0.23921326,0.2651592,-0.3468635,0.0027062097,-0.00260306,-0.34426045,0.0006209512,0.0022459668,0.000910661,0.010532337
68,1.36,0.40124306,0.34717843,0.13392925,0.2415464,0.2673138,-0.347053,0.0027427245,-0.00079893507,-0.34625405,0.0006790208,0.002391456,0.0009528539,0.008529117
69,1.38,0.40816727,0.34523576,0.13878234,0.2437378,0.26938492,-0.34724328,0.002778872,0.0010331022,-0.34827638,0.0007409109,0.0025421057,0.0009954358,0.0068934835
70,1.4,0.41505212,0.3432339,0.14367786,0.2457886,0.27137426,-0.34743908,0.0028147423,0.00289123,-0.3503303,0.0008067661,0.0026979097,0.0010383577,0.0055620493
71,1.42,0.4218963,0.34117597,0.14861299,0.24770015,0.2732833,-0.3476443,0.0028504254,0.00477372,-0.352418,0.0008767336,0.0028588597,0.0010815724,0.0044812113
72,1.44,0.42869878,0.33906496,0.15358497,0.24947408,0.27511382,-0.34786293,0.0028860099,0.0066787847,-0.35454172,0.000950961,0.0030249413,0.0011250349,0.0036059343
73,1.46,0.43545854,0.33690378,0.15859106,0.251112,0.27686748,-0.3480983,0.0029215831,0.008604899,-0.3567032,0.0010295981,0.0031961398,0.0011687025,0.0028986433
74,1.48,0.44217464,0.3346952,0.16362856,0.25261584,0.2785461,-0.3483537,0.002957229,0.010550445,-0.35890418,0.0011127949,0.0033724343,0.0012125345,0.0023281707
75,1.5,0.4488461,0.33244208,0.16869484,0.2539876,0.28015125,-0.34863192,0.0029930312,0.012513839,-0.3611458,0.0012007038,0.0035538028,0.0012564937,0.0018687815
76,1.52,0.45547205,0.33014685,0.17378724,0.25522944,0.28168482,-0.34893575,0.0030290682,0.01449369,-0.36342946,0.0012934778,0.0037402199,0.0013005446,0.0014993509
77,1.54,0.46205175,0.32781225,0.17890319,0.25634354,0.28314856,-0.3492673,0.0030654187,0.01648848,-0.3657558,0.0013912722,0.003931657,0.0013446547,0.0012025951
78,1.56,0.46858433,0.32544065,0.18404019,0.25733235,0.28454414,-0.34962875,0.0031021563,0.018496916,-0.36812568,0.0014942419,0.0041280845,0.0013887939,0.00096443354
79,1.58,0.47506908,0.3230344,0.1891957,0.25819823,0.28587335,-0.3500219,0.0031393524,0.020517658,-0.37053958,0.0016025447,0.0043294695,0.0014329349,0.00077343074
80,1.6,0.48150545,0.32059586,0.19436733,0.25894383,0.2871381,-0.35044843,0.0031770756,0.02254938,-0.37299782,0.0017163386,0.0045357756,0.0014770532,0.0006203258
81,1.62,0.48789272,0.31812721,0.19955271,0.25957176,0.28834,-0.35090953,0.0032153905,0.024590917,-0.37550044,0.0018357836,0.004746968,0.0015211264,0.00049764087
