,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc
0,0.0,0.00012921172,0.012835167,0.0,0.0,0.00012921172,-0.00040841577,3.3360688e-09,0.0,-0.00040841577
1,0.02,0.00051001826,0.02516203,1.00861385e-07,1.00671e-05,0.0005099174,-0.001599468,5.0624102e-08,-8.492126e-06,-0.001590976
2,0.04,0.001132405,0.03699568,6.960452e-07,4.93759e-05,0.001131709,-0.0035139055,2.4153994e-07,-3.8708473e-05,-0.003475197
3,0.06,0.0019866556,0.048350822,2.545602e-06,0.00013541197,0.00198411,-0.006090684,7.1804897e-07,-9.8819924e-05,-0.005991864
4,0.08,0.0030633432,0.059241764,6.742026e-06,0.00028393554,0.0030566012,-0.009268296,1.6471826e-06,-0.00019310416,-0.009075193
5,0.1,0.004353324,0.069682434,1.4675722e-05,0.0005089794,0.004338648,-0.012985826,3.2069865e-06,-0.00032291474,-0.012662911
6,0.12,0.0058477293,0.0796864,2.8000715e-05,0.00082287425,0.0058197286,-0.017183783,5.575332e-06,-0.00048747743,-0.016696306
7,0.14,0.0075379573,0.08926686,4.860107e-05,0.001236295,0.007489356,-0.021804728,8.921249e-06,-0.0006845375,-0.021120189
8,0.16,0.009415667,0.098436676,7.855839e-05,0.0017583234,0.009337109,-0.02679375,1.3398461e-05,-0.00091087964,-0.02588287
9,0.18,0.01147277,0.10720833,0.00012012073,0.002396523,0.011352649,-0.032098804,1.9140803e-05,-0.0011627394,-0.030936062
10,0.2,0.013701427,0.115594015,0.00017567298,0.0031570215,0.013525754,-0.03767093,2.625922e-05,-0.001436124,-0.036234803
11,0.22,0.016094036,0.12360556,0.00024770922,0.0040446008,0.015846327,-0.04346436,3.4840046e-05,-0.0017270565,-0.041737303
12,0.24,0.018643232,0.1312545,0.00033880642,0.0050627855,0.018304426,-0.049436614,4.4944423e-05,-0.002031756,-0.04740486
13,0.26,0.021341873,0.13855207,0.00045160056,0.0062139407,0.020890273,-0.05554845,5.6608387e-05,-0.002346768,-0.053201683
