,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc,predict_pitch,predict_speed,loss_sye,factor
0,0.0,0.00019735334,0.019603971,0.0,0.0,0.00019735334,0.41375512,0.0,0.4143789,-0.00062379945,0.0,0.0,0.0,0.0
1,0.02,0.00077898335,0.03843157,-0.00010218,-0.010198712,0.00088116335,0.37016293,0.0,0.39400363,-0.023840686,0.0,0.0,0.0,0.0
2,0.04,0.0017295944,0.05650587,-0.00039639458,-0.019204658,0.002125989,0.32795203,0.0,0.37432036,-0.04636835,0.0,0.0,0.0,0.0
3,0.06,0.003034346,0.0738493,-0.0008592039,-0.027059445,0.00389355,0.28708604,0.0,0.35525772,-0.068171695,0.0,0.0,0.0,0.0
4,0.08,0.0046788403,0.090483725,-0.0014679945,-0.033804085,0.0061468347,0.247583,0.0,0.33680144,-0.089218415,0.0,0.0,0.0,0.0
5,0.1,0.0066491114,0.10643044,-0.0022009804,-0.03948032,0.008850092,0.20945562,0.0,0.31893727,-0.10948165,0.0,0.0,0.0,0.0
6,0.12,0.008931611,0.12171014,-0.0030372161,-0.04413043,0.011968827,0.17271137,0.0,0.30165106,-0.12893969,0.0,0.0,0.0,0.0
7,0.14,0.011513203,0.13634299,-0.0039566047,-0.04779708,0.015469808,0.13735315,0.0,0.28492874,-0.14757557,0.0,0.0,0.0,0.0
8,0.16,0.014381151,0.15034862,-0.004939907,-0.050523173,0.019321058,0.10337957,0.0,0.26875636,-0.16537678,0.0,0.0,0.0,0.0
9,0.18,0.017523095,0.16374613,-0.0059687407,-0.05235171,0.023491835,0.07078534,0.0,0.2531203,-0.18233494,0.0,0.0,0.0,0.0
10,0.2,0.020927066,0.17655413,-0.0070255846,-0.053325653,0.02795265,0.039561454,0.0,0.23800698,-0.19844553,0.0,0.0,0.0,0.0
11,0.22,0.02458145,0.18879068,-0.008093774,-0.053487796,0.03267522,0.0096955495,0.0,0.22340305,-0.2137075,0.0,0.0,0.0,0.0
12,0.24,0.028474998,0.20047338,-0.0091575,-0.05288069,0.0376325,-0.0188279,0.0,0.2092953,-0.2281232,0.0,0.0,0.0,0.0
13,0.26,0.032596808,0.21161944,-0.010201799,-0.051546484,0.04279861,-0.046026982,0.0,0.19567087,-0.24169786,0.0,0.0,0.0,0.0
14,0.28,0.03693631,0.22224545,-0.011212543,-0.04952688,0.04814885,-0.071922615,0.0,0.18251692,-0.25443953,0.0,0.0,0.0,0.0
15,0.3,0.04148327,0.23236768,-0.012176439,-0.046863027,0.053659707,-0.09653777,0.0,0.16982104,-0.2663588,0.0,0.0,0.0,0.0
