,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc
0,0.0,-6.891304e-05,-0.0068454356,0.0,0.0,6.891304e-05,0.00021782209,1.8978579e-09,0.0,0.00021782209
1,0.02,-0.00027201016,-0.0134197725,-5.379283e-08,-5.3691288e-06,0.00027195638,0.0008485221,2.8799573e-08,1.2375413e-10,0.00084852194
2,0.04,-0.0006039504,-0.019731065,-3.7010622e-07,-2.6222222e-05,0.0006035803,0.0018536764,1.3744452e-07,5.7274213e-10,0.0018536758
3,0.06,-0.0010595515,-0.02578715,-1.3492778e-06,-7.160641e-05,0.0010582022,0.0031969612,4.08822e-07,1.4855378e-09,0.0031969598
4,0.08,-0.0016337861,-0.031595666,-3.5624812e-06,-0.00014955908,0.0016302237,0.004844087,9.386059e-07,2.951647e-09,0.0048440844
5,0.1,-0.0023217772,-0.037164032,-7.732093e-06,-0.00026716432,0.002314045,0.006762731,1.8293781e-06,5.0229416e-09,0.006762726
6,0.12,-0.0031187946,-0.04249949,-1.4713173e-05,-0.00043060735,0.0031040814,0.008922469,3.184412e-06,7.7230435e-09,0.008922461
7,0.14,-0.004020251,-0.04760908,-2.5476027e-05,-0.000645228,0.003994775,0.01129471,5.102809e-06,1.1054962e-08,0.011294699
8,0.16,-0.005021698,-0.05249965,-4.1089796e-05,-0.0009155717,0.004980608,0.01385263,7.675796e-06,1.500725e-08,0.013852615
9,0.18,-0.006118822,-0.057177875,-6.270708e-05,-0.0012454393,0.006056115,0.016571105,1.0984033e-05,1.9558916e-08,0.016571084
10,0.2,-0.0073074405,-0.061650243,-9.154951e-05,-0.001637935,0.007215891,0.019426642,1.50957385e-05,2.4683297e-08,0.019426618
11,0.22,-0.008583502,-0.06592308,-0.00012889432,-0.002095513,0.008454608,0.022397332,2.0065567e-05,3.0351032e-08,0.022397304
12,0.24,-0.009943075,-0.070002526,-0.0001760617,-0.0026200223,0.009767013,0.025462767,2.593402e-05,3.6532338e-08,0.025462728
13,0.26,-0.0113823535,-0.07389457,-0.00023440327,-0.003212748,0.01114795,0.028603975,3.272739e-05,4.3198696e-08,0.02860393
14,0.28,-0.012897647,-0.07760503,-0.00030529106,-0.0038744553,0.012592356,0.03180339,4.0458086e-05,5.0324e-08,0.031803336
15,0.3,-0.014485382,-0.08113957,-0.0003901076,-0.0046054274,0.014095274,0.03504475,4.9125214e-05,5.7885373e-08,0.03504469
